Index: S&P/TSX 60 Index (CAD)
Total Number of Constituents: 60
Data as of October 2nd 2020

Constituent Name,Symbol
Agnico Eagle Mines Limited,AEM
Algonquin Power & Utilities Corp.,AQN
Alimentation Couche-Tard Inc. Class B Subordinate Voting Shares,ATD.B
BCE Inc.,BCE
Bank of Montreal,BMO
Bank of Nova Scotia (The),BNS
Barrick Gold Corporation,ABX
Bausch Health Companies Inc.,BHC
Brookfield Asset Management Inc. Class A Limited Voting Shares,BAM.A
Brookfield Infrastructure Partners L.P. Limited Partnership Units,BIP.UN
Brookfield Property Partners L.P. Limited Partnership Units,BPY.UN
CCL Industries Inc. Unlimited Class B Non-Voting Shares,CCL.B
CGI Inc. Class A Subordinate Voting Shares,GIB.A
Cameco Corporation,CCO
Canadian Apartment Properties Real Estate Investment Trust Trust Units,CAR.UN
Canadian Imperial Bank Of Commerce,CM
Canadian National Railway Company,CNR
Canadian Natural Resources Limited,CNQ
Canadian Pacific Railway Limited,CP
Canadian Tire Corporation Limited Class A Non-Voting Shares,CTC.A
Canopy Growth Corporation,WEED
Cenovus Energy Inc.,CVE
Constellation Software Inc.,CSU
Dollarama Inc.,DOL
Emera Incorporated,EMA
Enbridge Inc.,ENB
First Quantum Minerals Ltd.,FM
Fortis Inc.,FTS
Franco-Nevada Corporation,FNV
George Weston Limited,WN
Gildan Activewear Inc.,GIL
Imperial Oil Limited,IMO
Inter Pipeline Ltd.,IPL
Kinross Gold Corporation,K
Kirkland Lake Gold Ltd.,KL
Loblaw Companies Limited,L
Magna International Inc.,MG
Manulife Financial Corporation,MFC
Metro Inc.,MRU
National Bank of Canada,NA
Nutrien Ltd.,NTR
Open Text Corporation,OTEX
Pembina Pipeline Corporation,PPL
Power Corporation of Canada Subordinate Voting Shares,POW
Restaurant Brands International Inc.,QSR
Rogers Communications Inc. Class B Non-voting Shares,RCI.B
Royal Bank of Canada,RY
SNC-Lavalin Group Inc.,SNC
Saputo Inc.,SAP
Shaw Communications Inc. Class B Non-voting Shares,SJR.B
Shopify Inc. Class A Subordinate Voting Shares,SHOP
Sun Life Financial Inc.,SLF
Suncor Energy Inc.,SU
TC Energy Corporation,TRP
TELUS Corporation Common,T
Teck Resources Limited Class B Subordinate Voting Shares,TECK.B
Thomson Reuters Corporation With New Deposit Receip,TRI
Toronto-Dominion Bank (The),TD
Waste Connections Inc.,WCN
Wheaton Precious Metals Corp.,WPM
